"","case","model","auc_mean","auc_sd","num_features_mean","num_features_sd"
"1",1,"lasso",0.70404401473367,0.0634274450253281,23.4,8.98888202169769
"2",1,"spike",0.585881018725846,0.0572916998080941,11.4,11.5455619178973
"3",1,"tree",0.645243000932656,0.0227499765929923,29.6,29.2284108360342
"4",2,"lasso",0.527575,0.0369018546281891,26.4,3.20936130717624
"5",2,"spike",0.59065,0.0405680755027892,35.6,2.07364413533277
"6",2,"tree",0.563025,0.0651427758849744,31.8,6.22093240599832
"7",3,"lasso",0.675132555673383,0.0550237306906601,9.2,6.61059755241536
"8",3,"spike",0.704347826086957,0.0531960962950685,32.2,9.78263768111648
"9",3,"tree",0.739978791092259,0.023244082388445,48,13.7658998979362
